O,o,s
for,for,s
a,a,s
Muse,muse,s,topic_0,0,freq4,0,ig5,0,sal4,0
of,of,s
fire,fire,,topic_12,0,freq2,0,ig5,0,sal4,0
",",",",s
that,that,s
would,would,s
ascend,ascend,n,topic_24,0,freq4,0,ig1,0,sal3,0
The,the,s
brightest,brightest,s,topic_3,0,freq5,0,ig5,0,sal5,0
heaven,heaven,s,topic_8,0,freq2,0,ig5,0,sal5,0
of,of,s
invention,invention,,topic_7,0,freq4,0,ig5,0,sal4,0
",",",",n
A,a,s
kingdom,kingdom,s,topic_8,0,freq2,0,ig4,0,sal1,0
for,for,s
a,a,s
stage,stage,,topic_3,0,freq3,0,ig1,0,sal2,0
",",",",s
princes,princes,s,topic_15,0,freq2,0,ig5,0,sal4,0
to,to,s
act,act,n,topic_25,0,freq1,0,ig4,0,sal1,0
And,and,s
monarchs,monarchs,s,topic_15,0,freq4,0,ig5,0,sal4,0
to,to,s
behold,behold,s,topic_14,0,freq2,0,ig5,0,sal4,0
the,the,s
swelling,swelling,s,topic_0,0,freq5,0,ig5,0,sal5,0
scene,scene,,topic_13,0,freq3,0,ig5,0,sal3,0
!,!,n
Then,then,s
should,should,s
the,the,s
warlike,warlike,s,topic_30,0,freq4,0,ig5,0,sal5,0
Harry,harry,,topic_15,0,freq2,0,ig5,0,sal3,0
",",",",s
like,like,s
himself,himself,
",",",",n
Assume,assume,s,topic_16,0,freq4,0,ig5,0,sal4,0
the,the,s
port,port,s,topic_39,0,freq4,0,ig5,0,sal4,0
of,of,s
Mars,mars,,topic_14,0,freq3,0,ig5,0,sal3,0
;,;,s
and,and,s
at,at,s
his,his,s
heels,heels,,topic_14,0,freq4,0,ig5,0,sal5,0
",",",",n
Leash'd,leash'd,s,topic_8,0,freq5,0,ig3,0,sal5,0
in,in,s
like,like,s
hounds,hounds,,topic_32,0,freq3,0,ig1,0,sal2,0
",",",",s
should,should,s
famine,famine,,topic_33,0,freq5,0,ig4,0,sal4,0
",",",",s
sword,sword,s,topic_34,0,freq3,0,ig5,0,sal3,0
and,and,s
fire,fire,n,topic_4,0,freq1,0,ig5,0,sal1,0
Crouch,crouch,s,topic_34,0,freq5,0,ig5,0,sal5,0
for,for,s
employment,employment,,topic_41,0,freq3,0,ig5,0,sal3,0
.,.,s
But,but,s
pardon,pardon,,topic_0,0,freq1,0,ig5,0,sal2,0
",",",",s
and,and,s
gentles,gentles,s,topic_42,0,freq4,0,ig1,0,sal2,0
all,all,
",",",",n
The,the,s
flat,flat,s,topic_4,0,freq5,0,ig5,0,sal5,0
unraised,unraised,s,topic_17,0,freq5,0,ig4,0,sal5,0
spirits,spirits,s,topic_31,0,freq3,0,ig5,0,sal4,0
that,that,s
have,have,s
dared,dared,n,topic_31,0,freq5,0,ig5,0,sal5,0
On,on,s
this,this,s
unworthy,unworthy,s,topic_31,0,freq3,0,ig5,0,sal3,0
scaffold,scaffold,s,topic_0,0,freq5,0,ig2,0,sal5,0
to,to,s
bring,bring,s,topic_34,0,freq3,0,ig5,0,sal4,0
forth,forth,n
So,so,s
great,great,s,topic_14,0,freq1,0,ig5,0,sal2,0
an,an,s
object,object,,topic_31,0,freq3,0,ig5,0,sal3,0
:,:,s
can,can,s
this,this,s
cockpit,cockpit,s,topic_13,0,freq5,0,ig3,0,sal5,0
hold,hold,n,topic_13,0,freq1,0,ig5,0,sal4,0
The,the,s
vasty,vasty,s,topic_4,0,freq5,0,ig5,0,sal4,0
fields,fields,s,topic_15,0,freq2,0,ig5,0,sal2,0
of,of,s
France,france,
?,?,s
or,or,s
may,may,s
we,we,s
cram,cram,n,topic_41,0,freq4,0,ig1,0,sal4,0
Within,within,s
this,this,s
wooden,wooden,s,topic_33,0,freq5,0,ig5,0,sal5,0
O,o,s
the,the,s
very,very,s
casques,casques,n,topic_37,0,freq5,0,ig3,0,sal5,0
That,that,s
did,did,s
affright,affright,s,topic_38,0,freq4,0,ig4,0,sal4,0
the,the,s
air,air,s,topic_39,0,freq4,0,ig5,0,sal5,0
at,at,s
Agincourt,agincourt,,topic_15,0,freq4,0,ig1,0,sal3,0
?,?,n
O,o,
",",",",s
pardon,pardon,,topic_27,0,freq1,0,ig5,0,sal1,0
!,!,s
since,since,s
a,a,s
crooked,crooked,s,topic_8,0,freq4,0,ig5,0,sal4,0
figure,figure,s,topic_6,0,freq4,0,ig5,0,sal5,0
may,may,n
Attest,attest,s,topic_14,0,freq5,0,ig1,0,sal4,0
in,in,s
little,little,s
place,place,s,topic_37,0,freq3,0,ig5,0,sal5,0
a,a,s
million,million,,topic_13,0,freq5,0,ig5,0,sal5,0
;,;,n
And,and,s
let,let,s
us,us,
",",",",s
ciphers,ciphers,s,topic_37,0,freq5,0,ig3,0,sal5,0
to,to,s
this,this,s
great,great,s,topic_14,0,freq1,0,ig5,0,sal2,0
accompt,accompt,,topic_27,0,freq5,0,ig5,0,sal5,0
",",",",n
On,on,s
your,your,s
imaginary,imaginary,s,topic_47,0,freq5,0,ig1,0,sal4,0
forces,forces,s,topic_33,0,freq4,0,ig1,0,sal3,0
work,work,,topic_14,0,freq3,0,ig5,0,sal5,0
.,.,n
Suppose,suppose,s,topic_8,0,freq3,0,ig5,0,sal3,0
within,within,s
the,the,s
girdle,girdle,s,topic_38,0,freq4,0,ig5,0,sal4,0
of,of,s
